id,name,location_id/id,active
R01,R01,stock.stock_location_stock,1
R02,R02,stock.stock_location_stock,1
R03,R03,stock.stock_location_stock,1
R04,R04,stock.stock_location_stock,1
R05,R05,stock.stock_location_stock,1
R06,R06,stock.stock_location_stock,1
R07,R07,stock.stock_location_stock,1
R08,R08,stock.stock_location_stock,1
R09,R09,stock.stock_location_stock,1
R10,R10,stock.stock_location_stock,1
R11,R11,stock.stock_location_stock,1
R12,R12,stock.stock_location_stock,1
R13,R13,stock.stock_location_stock,1
R14,R14,stock.stock_location_stock,1
R15,R15,stock.stock_location_stock,1
R16,R16,stock.stock_location_stock,1
R17,R17,stock.stock_location_stock,1
R18,R18,stock.stock_location_stock,1
R19,R19,stock.stock_location_stock,1
R20,R20,stock.stock_location_stock,1
R21,R21,stock.stock_location_stock,1
R22,R22,stock.stock_location_stock,1
R23,R23,stock.stock_location_stock,1
R24,R24,stock.stock_location_stock,1
R25,R25,stock.stock_location_stock,1
R26,R26,stock.stock_location_stock,1
R27,R27,stock.stock_location_stock,1
R28,R28,stock.stock_location_stock,1
R29,R29,stock.stock_location_stock,1
R30,R30,stock.stock_location_stock,1
R31,R31,stock.stock_location_stock,1
R32,R32,stock.stock_location_stock,1
R33,R33,stock.stock_location_stock,1
R34,R34,stock.stock_location_stock,1
R35,R35,stock.stock_location_stock,1
R36,R36,stock.stock_location_stock,1
R37,R37,stock.stock_location_stock,1
R38,R38,stock.stock_location_stock,1
R39,R39,stock.stock_location_stock,1
R40,R40,stock.stock_location_stock,1
R41,R41,stock.stock_location_stock,1
R42,R42,stock.stock_location_stock,1
