id,name,location_id/id,maxItem
R01,R01,stock.stock_location_stock,250
R02,R02,stock.stock_location_stock,250
R03,R03,stock.stock_location_stock,250
R04,R04,stock.stock_location_stock,250
R05,R05,stock.stock_location_stock,250
R06,R06,stock.stock_location_stock,250
R07,R07,stock.stock_location_stock,250
R08,R08,stock.stock_location_stock,250
R09,R09,stock.stock_location_stock,250
R10,R10,stock.stock_location_stock,250
R11,R11,stock.stock_location_stock,250
R12,R12,stock.stock_location_stock,250
R13,R13,stock.stock_location_stock,250
R14,R14,stock.stock_location_stock,250
R15,R15,stock.stock_location_stock,250
R16,R16,stock.stock_location_stock,250
R17,R17,stock.stock_location_stock,250
R18,R18,stock.stock_location_stock,250
R19,R19,stock.stock_location_stock,250
R20,R20,stock.stock_location_stock,250
R21,R21,stock.stock_location_stock,250
R22,R22,stock.stock_location_stock,250
R23,R23,stock.stock_location_stock,250
R24,R24,stock.stock_location_stock,250
R25,R25,stock.stock_location_stock,250
R26,R26,stock.stock_location_stock,250
R27,R27,stock.stock_location_stock,250
R28,R28,stock.stock_location_stock,250
R29,R29,stock.stock_location_stock,250
R30,R30,stock.stock_location_stock,250
R31,R31,stock.stock_location_stock,250
R32,R32,stock.stock_location_stock,250
R33,R33,stock.stock_location_stock,250
R34,R34,stock.stock_location_stock,250
R35,R35,stock.stock_location_stock,250
R36,R36,stock.stock_location_stock,250
R37,R37,stock.stock_location_stock,250
R38,R38,stock.stock_location_stock,250
R39,R39,stock.stock_location_stock,250
R40,R40,stock.stock_location_stock,250
R41,R41,stock.stock_location_stock,250
R42,R42,stock.stock_location_stock,250
